Filename,Duration,File Size,Creation Date,Original Path
question_1.mp3,0:12,234.38 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_1.mp3
question_26.mp3,0:12,238.12 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_26.mp3
question_32.mp3,0:14,279.84 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_32.mp3
question_36.mp3,0:12,242.81 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_36.mp3
question_22.mp3,0:11,231.56 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_22.mp3
question_5.mp3,0:12,248.91 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_5.mp3
question_4.mp3,0:12,248.44 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_4.mp3
question_23.mp3,0:11,231.09 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_23.mp3
question_37.mp3,0:12,241.88 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_37.mp3
question_21.mp3,0:11,225.47 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_21.mp3
question_35.mp3,0:13,256.88 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_35.mp3
question_6.mp3,0:10,214.22 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_6.mp3
question_7.mp3,0:11,232.03 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_7.mp3
question_34.mp3,0:13,255.94 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_34.mp3
question_20.mp3,0:14,276.09 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_20.mp3
question_11.mp3,0:14,282.66 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_11.mp3
question_39.mp3,0:11,230.62 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_39.mp3
question_38.mp3,0:11,226.88 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_38.mp3
question_10.mp3,0:13,265.31 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_10.mp3
question_12.mp3,0:14,289.69 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_12.mp3
question_9.mp3,0:17,342.66 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_9.mp3
question_8.mp3,0:14,280.78 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_8.mp3
question_13.mp3,0:12,247.97 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_13.mp3
question_17.mp3,0:12,239.53 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_17.mp3
question_16.mp3,0:12,240.47 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_16.mp3
question_28.mp3,0:12,236.25 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_28.mp3
question_14.mp3,0:12,240.94 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_14.mp3
question_15.mp3,0:12,239.53 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_15.mp3
question_29.mp3,0:12,235.78 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_29.mp3
question_48.mp3,0:11,225.94 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_48.mp3
question_49.mp3,0:11,224.06 KB,06-11-24,/Users/steven/Documents/quiz-talk/quiz329/question/Q1/question_49.mp3
question_84.mp3,0:08,168.26 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_84.mp3
question_238.mp3,0:15,305.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_238.mp3
question_90.mp3,0:07,146.23 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_90.mp3
question_210.mp3,0:12,250.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_210.mp3
question_204.mp3,0:12,243.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_204.mp3
question_47.mp3,0:06,138.26 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_47.mp3
question_53.mp3,0:06,121.39 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_53.mp3
question_166.mp3,0:06,127.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_166.mp3
question_172.mp3,0:07,150.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_172.mp3
question_199.mp3,0:08,168.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_199.mp3
question_198.mp3,0:07,147.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_198.mp3
question_173.mp3,0:08,169.20 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_173.mp3
question_167.mp3,0:07,154.67 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_167.mp3
question_52.mp3,0:06,127.48 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_52.mp3
question_46.mp3,0:06,131.70 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_46.mp3
question_205.mp3,0:12,239.04 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_205.mp3
question_211.mp3,0:12,255.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_211.mp3
question_239.mp3,0:15,309.83 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_239.mp3
question_91.mp3,0:09,182.79 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_91.mp3
question_85.mp3,0:07,157.95 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_85.mp3
question_93.mp3,0:07,150.45 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_93.mp3
question_87.mp3,0:07,151.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_87.mp3
question_207.mp3,0:10,204.83 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_207.mp3
question_213.mp3,0:11,221.70 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_213.mp3
question_50.mp3,0:07,150.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_50.mp3
question_44.mp3,0:07,146.70 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_44.mp3
question_78.mp3,0:09,180.92 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_78.mp3
question_159.mp3,0:13,264.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_159.mp3
question_171.mp3,0:08,163.58 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_171.mp3
question_165.mp3,0:07,147.17 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_165.mp3
question_164.mp3,0:09,189.36 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_164.mp3
question_170.mp3,0:07,151.86 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_170.mp3
question_158.mp3,0:10,215.14 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_158.mp3
question_79.mp3,0:06,131.70 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_79.mp3
question_45.mp3,0:07,141.07 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_45.mp3
question_51.mp3,0:06,130.29 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_51.mp3
question_212.mp3,0:11,219.83 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_212.mp3
question_206.mp3,0:09,194.98 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_206.mp3
question_86.mp3,0:09,186.07 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_86.mp3
question_92.mp3,0:11,228.73 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_92.mp3
question_202.mp3,0:11,230.61 KB,06-11-24,/Users/steven/Documents/quiz-talk/trekk/output_speech/question_202.mp3
