Filename,File Size,Creation Date,Original Path
Rubbish Love_transcription.txt,1.24 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-indie-folk-feelers_analysis_1_1.txt,2.40 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark_Soft_Whispers_analysis_1_1.txt,2.46 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark-v4_2_transcript 2.txt,2.40 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
echoes_of_moonlight_song_lyrics_transcript 1.txt,1.09 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Dusty_Rhymes_and_Whispers_transcript 1.txt,354.00 B,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_Moonlight-v4_analysis 1.txt,2.38 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Howling Cat's Song_transcription.txt,1.29 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-og-best 2_analysis 1.txt,3.48 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark2_(Remastered)_(1)_analysis 1.txt,3.14 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Bite-in-the-night-acapella_analysis 1.txt,3.11 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-stadium_analysis 1.txt,1.97 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Enchanted_Woods_Song_Adventure_analysis2_1_1.txt,3.21 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
From_Ashes_I_Will_Rise_analysis 1.txt,2.80 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_the_Junkyard_v4_2_analysis 2.txt,1.89 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
echoes_of_yesterday_remastered_analysis2_1_1.txt,3.33 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_Moonlight-v4_analysis 2.txt,2.03 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-og-best 2_analysis 2.txt,2.38 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark2_(Remastered)_(1)_analysis 2.txt,2.49 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
The_Alley_King_(Remastered)1_transcript_1_1.txt,1.75 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Love_in_Imperfection_(Remastered)2_analysis2_1_1.txt,3.30 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-feelers-chill-lady_analysis_2_1.txt,3.02 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark_Remastered_Song_Lyrics_analysis2_1_1.txt,2.49 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Dusty_Rhymes_and_Whispers_analysis2_1_1.txt,2.94 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-indie-folk-feelers_analysis2_1_1.txt,2.66 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
From_Ashes_I_Will_Rise_analysis 2.txt,1.73 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-feelers-chill_analysis-1_2_1_1.txt,2.05 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Heartbeats_in_the_Dark2_(Remastered)_(1)_analysis 3.txt,1.52 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-og-best 2_analysis 3.txt,2.07 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Blues in the Alley Haunted Strings Nocturnal Notes (1)_transcription.txt,2.40 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_of_the_Junkyard_v4_2_analysis 1.txt,2.80 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Love_in_Imperfection_(Remastered)2_analysis 3.txt,1.64 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Project 2025_transcription.txt,1.81 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
in_this_alley_where_i_Hide_-_LIVE-stadium_2_analysis_1_1.txt,2.96 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Bite-in-the-night-acapella_transcript 1.txt,241.00 B,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-feels_analysis 1.txt,3.07 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-folk-355_analysis_1_1.txt,2.11 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Willow_whispers-og_analysis 1.txt,2.82 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
"The elder TrashCat, known as Grizzle, raises his.txt",1.91 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Echoes_in_the_Alley_analysis_2_1.txt,2.98 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Dusty_Rhymes_and_Grime_analysis 2.txt,1.87 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
Sammys_Serenade_(Remastered)2_analysis 2.txt,2.96 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media
