Filename,Duration,File Size,Creation Date,Original Path
in This aLLey Where i HiDe-oG (Remix)-grity259.mp3,2:59,4.23 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/in This aLLey Where i HiDe-oG (Remix)-grity259/in This aLLey Where i HiDe-oG (Remix)-grity259.mp3
Willow_whispers-v4.mp3,3:50,3.52 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow_whispers-v4/Willow_whispers-v4.mp3
Heroes Rise  - Villains Overthrow (Remastered).mp3,1:57,1.80 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Heroes Rise  - Villains Overthrow (Remastered)/Heroes Rise  - Villains Overthrow (Remastered).mp3
Blues-in-the-Moonlit-Nights.mp3,2:51,3.92 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Blues-in-the-Moonlit-Nights/Blues-in-the-Moonlit-Nights.mp3
Echoes_of_Love_(1).mp3,3:09,4.35 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Echoes_of_Love_(1)/Echoes_of_Love_(1).mp3
bite in the night227.mp3,2:27,3.18 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/bite in the night227/bite in the night227.mp3
Echoes of the Junkyard.mp3,2:39,3.65 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Echoes of the Junkyard/Echoes of the Junkyard.mp3
Sammy's Serenade (Remastered x2) LadyGroup.mp3,3:55,5.18 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Sammy's Serenade (Remastered x2) LadyGroup/Sammy's Serenade (Remastered x2) LadyGroup.mp3
Willow_whispers(Remastered)1.mp3,3:57,3.63 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow_whispers(Remastered)1/Willow_whispers(Remastered)1.mp3
in This aLLey Where i HiDe-oG.mp3,3:14,2.97 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/in This aLLey Where i HiDe-oG/in This aLLey Where i HiDe-oG.mp3
in_This_aLLey_Where_i_HiDe2.mp3,2:38,2.42 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/in_This_aLLey_Where_i_HiDe2/in_This_aLLey_Where_i_HiDe2.mp3
Folk Song of a Dark Traveler236.mp3,2:36,3.54 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Folk Song of a Dark Traveler236/Folk Song of a Dark Traveler236.mp3
No More Love Songs344.mp3,3:44,4.98 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/No More Love Songs344/No More Love Songs344.mp3
Folk Song of a Dark Traveler253.mp3,2:53,3.83 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Folk Song of a Dark Traveler253/Folk Song of a Dark Traveler253.mp3
in This aLLey Where i HiDe-oG (Remix)-grity251.mp3,2:51,4.28 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/in This aLLey Where i HiDe-oG (Remix)-grity251/in This aLLey Where i HiDe-oG (Remix)-grity251.mp3
Willow_whispers-feelers-chill (5).mp3,2:18,2.12 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow_whispers-feelers-chill (5)/Willow_whispers-feelers-chill (5).mp3
Unraveling the Cosmic Dance The Void Phi and Fibonacci in Lifes Infinite Game.mp3,8:30,2.92 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Unraveling the Cosmic Dance The Void Phi and Fibonacci in Lifes Infinite Game/Unraveling the Cosmic Dance The Void Phi and Fibonacci in Lifes Infinite Game.mp3
The Cosmic Dance of Creation From Void to Reality.mp3,6:43,2.31 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/The Cosmic Dance of Creation From Void to Reality/The Cosmic Dance of Creation From Void to Reality.mp3
Heartbeats_in_the_Dark2_(Remastered)_(1).mp3,3:59,5.49 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Heartbeats_in_the_Dark2_(Remastered)_(1)/Heartbeats_in_the_Dark2_(Remastered)_(1).mp3
in This aLLey Where i HiDe-oG (Remix)-grity256.mp3,2:56,3.95 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/in This aLLey Where i HiDe-oG (Remix)-grity256/in This aLLey Where i HiDe-oG (Remix)-grity256.mp3
Willow_whispers-v4-2.mp3,3:58,3.64 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow_whispers-v4-2/Willow_whispers-v4-2.mp3
in This aLLey Where i HiDe-oG (Remix)252.mp3,2:52,3.98 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/in This aLLey Where i HiDe-oG (Remix)252/in This aLLey Where i HiDe-oG (Remix)252.mp3
Love is rubbish Let's Get Trashy (Remix)304-folk.mp3,3:04,4.29 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Love is rubbish Let's Get Trashy (Remix)304-folk/Love is rubbish Let's Get Trashy (Remix)304-folk.mp3
Willow Tree (Remix)-206.mp3,2:06,2.75 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow Tree (Remix)-206/Willow Tree (Remix)-206.mp3
Junkyard_Symphony_Scraps_(Remastered).mp3,3:11,4.39 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Junkyard_Symphony_Scraps_(Remastered)/Junkyard_Symphony_Scraps_(Remastered).mp3
Sammy's Serenade (Remastered x2)2-1.mp3,3:54,5.41 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Sammy's Serenade (Remastered x2)2-1/Sammy's Serenade (Remastered x2)2-1.mp3
bite in the night258.mp3,2:58,4.23 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/bite in the night258/bite in the night258.mp3
Sammy's Serenade (Remastered x2)2.mp3,3:54,5.28 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Sammy's Serenade (Remastered x2)2/Sammy's Serenade (Remastered x2)2.mp3
Love in Imperfection.mp3,3:39,3.41 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Love in Imperfection/Love in Imperfection.mp3
Kings and Queens of Litter (Remastered)1 (4).mp3,3:58,3.64 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Kings and Queens of Litter (Remastered)1 (4)/Kings and Queens of Litter (Remastered)1 (4).mp3
Recycled-Symphony2.mp3,3:02,4.19 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Recycled-Symphony2/Recycled-Symphony2.mp3
The Alley King (Remastered).mp3,2:37,2.41 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/The Alley King (Remastered)/The Alley King (Remastered).mp3
Project 2025.mp3,3:09,4.33 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Project 2025/Project 2025.mp3
in This aLLey Where i HiDe-oG (Remix).mp3,3:01,3.99 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/in This aLLey Where i HiDe-oG (Remix)/in This aLLey Where i HiDe-oG (Remix).mp3
No More Love Songs - Encore (Remastered) (1).mp3,3:39,4.81 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/No More Love Songs - Encore (Remastered) (1)/No More Love Songs - Encore (Remastered) (1).mp3
Heroes Rise  - Villains Overthrow (Remastered) (Remix)304.mp3,3:04,4.27 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Heroes Rise  - Villains Overthrow (Remastered) (Remix)304/Heroes Rise  - Villains Overthrow (Remastered) (Remix)304.mp3
My Junkyard Symphony.mp3,2:11,2.06 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/My Junkyard Symphony/My Junkyard Symphony.mp3
in This aLLey Where i HiDe-oG (Remix)239.mp3,2:39,3.54 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/in This aLLey Where i HiDe-oG (Remix)239/in This aLLey Where i HiDe-oG (Remix)239.mp3
Bite in the Night-4m-xtra.mp3,3:59,3.66 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Bite in the Night-4m-xtra/Bite in the Night-4m-xtra.mp3
Willow_whispers-feelers-chill (Remastered x2) (1).mp3,3:49,4.80 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow_whispers-feelers-chill (Remastered x2) (1)/Willow_whispers-feelers-chill (Remastered x2) (1).mp3
Hope from Broken Parts.mp3,3:03,4.19 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Hope from Broken Parts/Hope from Broken Parts.mp3
in This aLLey Where i HiDe-oG (Remix)254.mp3,2:54,4.09 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/in This aLLey Where i HiDe-oG (Remix)254/in This aLLey Where i HiDe-oG (Remix)254.mp3
witched Road (Remix)245.mp3,2:45,3.42 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/witched Road (Remix)245/witched Road (Remix)245.mp3
Heroes Rise  - Villains Overthrow (Remastered)232.mp3,2:32,3.73 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Heroes Rise  - Villains Overthrow (Remastered)232/Heroes Rise  - Villains Overthrow (Remastered)232.mp3
No More Love Songs - Encore (Remastered) (2).mp3,3:39,4.69 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/No More Love Songs - Encore (Remastered) (2)/No More Love Songs - Encore (Remastered) (2).mp3
Willow_whispers-v4-og.mp3,3:58,5.47 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow_whispers-v4-og/Willow_whispers-v4-og.mp3
Willow_whispers-feelers-chill (2).mp3,1:01,969.00 KB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow_whispers-feelers-chill (2)/Willow_whispers-feelers-chill (2).mp3
Love is rubbish Let's Get Trashy (Remix)254.mp3,2:54,4.33 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Love is rubbish Let's Get Trashy (Remix)254/Love is rubbish Let's Get Trashy (Remix)254.mp3
Island_of_Dreams.mp3,2:53,3.98 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Island_of_Dreams/Island_of_Dreams.mp3
Willow Whispers.mp3,3:59,5.55 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow Whispers/Willow Whispers.mp3
Recycled_Symphony2.1_(Remastered).mp3,3:01,2.78 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Recycled_Symphony2.1_(Remastered)/Recycled_Symphony2.1_(Remastered).mp3
Folk Song of a Dark Traveler224.mp3,2:24,3.32 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Folk Song of a Dark Traveler224/Folk Song of a Dark Traveler224.mp3
Junkyard Kings.mp3,3:59,3.70 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Junkyard Kings/Junkyard Kings.mp3
In The Hollow (Remix)259.mp3,2:59,4.04 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/In The Hollow (Remix)259/In The Hollow (Remix)259.mp3
No More Love Songs No More Lies v4-2.mp3,2:30,2.30 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/No More Love Songs No More Lies v4-2/No More Love Songs No More Lies v4-2.mp3
Willow Tree (Remix)-059.mp3,0:59,1.33 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow Tree (Remix)-059/Willow Tree (Remix)-059.mp3
Willow_whispers-feelers-chill (Remastered x2) (2).mp3,3:49,5.29 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Willow_whispers-feelers-chill (Remastered x2) (2)/Willow_whispers-feelers-chill (Remastered x2) (2).mp3
🎵 Petals in the Dark301.mp3,3:01,3.76 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/🎵 Petals in the Dark301/🎵 Petals in the Dark301.mp3
Love is rubbish Let's Get Trashy.mp3,3:48,3.49 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Love is rubbish Let's Get Trashy/Love is rubbish Let's Get Trashy.mp3
Love is rubbish Let's Get Trashy (Remix)317.mp3,3:17,4.47 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Love is rubbish Let's Get Trashy (Remix)317/Love is rubbish Let's Get Trashy (Remix)317.mp3
No More Love Songs246.mp3,2:46,3.88 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/No More Love Songs246/No More Love Songs246.mp3
Dance Like Nobody's Watching (Remastered).mp3,2:17,2.11 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Dance Like Nobody's Watching (Remastered)/Dance Like Nobody's Watching (Remastered).mp3
Beautiful_Mess_v4.mp3,3:14,4.46 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Beautiful_Mess_v4/Beautiful_Mess_v4.mp3
Heartbeats_in_the_Dark-v4.mp3,3:11,4.38 MB,06-02-25,/Users/steven/Music/nocTurneMeLoDieS/Media/Heartbeats_in_the_Dark-v4/Heartbeats_in_the_Dark-v4.mp3
